title	year	discipline_names	url
Storage and Space: Notes on Collecting, Archiving, and Presenting Digital Moving Image Works	2001	['Film Studies']	www.jstor.org/stable/10.2307/41167066
The Use of Digital Restoration within European Film Archives: A Case Study	2006	['Film Studies']	www.jstor.org/stable/10.2307/41167232
Virtual View: Sparklers on Your Digital Sundae	1998	['Language & Literature']	www.jstor.org/stable/10.2307/25126230
The Notion of »holy« in Ancient Armenian Texts from the Fifth Century CE: A Comparative Approach Using Digital Tools and Methods	2022	['Religion']	www.jstor.org/stable/10.2307/j.ctv2sbm7mj
The Commons … and Digital Planetarity	2015	['Philosophy']	www.jstor.org/stable/10.2307/j.ctv3znz1s.7
Book Review : Civil War Governors of Kentucky Digital Documentary Edition	2017	['History', 'Museum Studies']	www.jstor.org/stable/10.2307/26421036
Book Review : Computers Take Flight: A History of NASA's Pioneering Digital Fly-by-Wire Project	2000	['History', 'Museum Studies']	www.jstor.org/stable/10.2307/3379251
Book Review : Digital Community Engagement: Partnering Communities with the Academy	2021	['History', 'Museum Studies']	www.jstor.org/stable/10.2307/48766712
Book Review : Landmarks in Digital Computing: A Smithsonian Pictorial History	1996	['History', 'Museum Studies']	www.jstor.org/stable/10.2307/3377903
Book Review : The Theory and Craft of Digital Preservation	2020	['History', 'Museum Studies']	www.jstor.org/stable/10.2307/48744244
Chasing the Frontiers of Digital Technology	2016	['History', 'Museum Studies']	www.jstor.org/stable/10.2307/26420756
Digital Work with Nontextual Objects	2018	['History', 'Museum Studies']	www.jstor.org/stable/10.2307/26421065
Documentation and Digital Preservation of Syrian Heritage	2018	['History', 'Museum Studies']	www.jstor.org/stable/10.2307/26629747
Presidential Libraries Going Digital	2018	['History', 'Museum Studies']	www.jstor.org/stable/10.2307/26504397
Dwelling in the Digital Archive: A Meditation on the Civil War Governors of Kentucky Project	2019	['History']	www.jstor.org/stable/10.2307/45156166
"Selected Documents from Henderson in the ""Civil War Governors of Kentucky Digital Documentary Edition"""	2015	['History']	www.jstor.org/stable/10.2307/24641322
ANCIENT ATOMISM AND DIGITAL PHILOSOPHY	2018	['Philosophy']	www.jstor.org/stable/10.2307/26633861
Digital Transformations	2020	['Art & Art History']	www.jstor.org/stable/10.2307/26961812
The Digital Frost Project	2017	['Language & Literature']	www.jstor.org/stable/10.2307/26476084
Book Review :          Early Modern Studies after the Digital Turn. Tempe: Arizona Center for Medieval and Renaissance Studies, 2016                    Laura           Estill                             Diana K.           Jakacki                             Michael           Ullyot	2018	['History']	www.jstor.org/stable/10.2307/44816552
